1	475	100	632	405
2	4084	100	285	197
3	4622	339	72	208
4	7792	199	304	978
5	8490	120	389	915
6	8669	100	405	917
7	9267	100	77	195
8	9387	379	71	212
9	9945	219	273	216
10	12876	100	1054	774
11	14611	199	1072	749
12	15867	120	1046	785
13	19615	140	279	201
14	20313	139	248	223
15	20472	100	269	177
16	20612	100	297	181
17	27690	179	83	190
18	28407	159	277	995
19	30640	160	388	903
20	31577	120	425	901
21	32933	120	408	838
22	42802	100	281	241
23	43600	100	304	186
24	46331	199	425	183
25	46550	100	433	197
26	46770	179	505	182
27	47966	120	701	283
28	49322	120	266	215
29	53927	100	995	898
30	59928	100	420	864
31	60547	120	369	834
32	63557	100	1040	807
33	64036	120	1090	774
34	65451	140	1115	782
35	65730	100	1095	776
36	67983	120	917	706
37	74403	100	1152	706
38	75799	179	1218	670
39	76098	120	1228	666
40	76297	100	1099	685
41	77035	100	1242	662
42	77613	120	1201	732
43	78072	160	1220	675
44	78271	140	1198	669
45	78490	120	1213	644
46	78769	140	1259	682
47	82278	100	304	835
48	83076	100	302	188
49	88698	100	365	819
50	90054	100	55	254
51	94201	100	384	784
52	94859	120	414	819
53	96633	100	406	774
54	98069	120	395	789
55	98388	120	410	815
56	105725	120	470	751
57	114677	100	254	228
58	114856	179	64	237
59	123768	140	1277	786
60	126859	339	468	190
61	127377	100	439	301
62	129351	120	280	262
63	131424	140	1246	277
64	132581	100	254	239
65	135133	179	573	217
66	142848	120	50	235
67	144304	299	68	211
68	144623	299	67	211
69	145062	279	244	206
70	146477	219	522	444
71	146796	299	514	460
72	147673	219	479	662
73	148511	100	447	715
74	148630	179	444	752
75	149268	120	492	606
76	150006	100	510	441
77	150804	120	498	432
78	151242	100	355	689
79	151701	120	338	646
80	151840	140	280	786
81	152179	159	259	818
82	152359	100	262	802
83	152777	100	293	742
84	153136	180	377	807
85	153894	120	247	792
86	154353	179	102	217
87	154552	179	75	233
88	154771	459	250	214
89	155290	100	287	805
90	155489	100	291	812
91	156486	140	341	801
92	156665	100	331	792
93	157921	140	266	775
94	158360	100	290	762
95	158519	180	225	670
96	159038	100	274	754
97	159337	100	306	778
98	160274	159	301	711
99	160613	180	301	716
